model_type,learning_rate,num_params,training_loss,best_loss,val_loss,test_loss,training_time,inf_time,kaggle_score,kaggle_test_score,mean_dist,mean_test_dist,epochs,batch_size
LSTM,0.001,30000,2.16E-07,6.67E-07,6.67E-07,0.09154317528,26.22905231,0.1056641617,2.490434229,3.042343318,,,21,32
LSTM,0.001,100000,1.22E-05,6.67E-07,1.25E-05,0.09155499935,169.2502844,0.3561404724,2.533823144,3.092856514,,,41,32
LSTM,0.001,30000,5.44E-06,5.85E-06,5.85E-06,0.09154837579,139.1391923,0.1096680298,2.533308148,3.071632206,,,110,32
LSTM,0.001,100000,1.27E-06,1.85E-06,1.85E-06,0.09154435992,496.9372711,0.3604162903,2.532420146,3.070841658,,,120,32
LSTM,0.001,300000,3.39E-07,6.72E-07,6.72E-07,0.09154319763,6404.524291,1.04987146,2.586677054,3.153090385,,,530,32
LSTM,0.001,30000,1.90E-07,8.57E-07,8.57E-07,0.09154337132,1375.546929,0.1059519987,2.463640656,7747.185227,,,84,2
Transformer,0.001,30000,2.82E-10,6.67E-07,6.67E-07,0.09154317562,519.0416272,0.0529835515,2.416956713,7747.076394,,,36,2
MLP,0.001,30000,3.00E-10,6.67E-07,6.67E-07,0.09154315328,117.7148874,0.01365977597,2.820602299,7747.447715,,,40,2
Transformer,0.001,40000,1.22E-06,6.67E-07,6.67E-07,0.09154317561,692.2414989,0.0706164465,2.50537457,7747.114673,,,36,2
MLP,0.001,40000,4.68E-07,6.67E-07,6.67E-07,0.09154343649,159.3108218,0.017596416,3.316838562,7747.975486,,,40,2
LSTM,0.001,80000,4.92E-10,6.67E-07,6.67E-07,3.13E-10,1573.171118,0.2798931198,2.548759726,2.435515022,1.809288,1.2700785,36,2
MLP,0.001,80000,8.56E-10,6.67E-07,6.67E-07,7.32E-10,532.5915959,0.03677772808,4.266229378,4.675451976,3.869245,3.5783496,64,2
LSTM,0.001,150000,2.11E-08,6.67E-07,6.67E-07,4.34E-10,9666.428017,0.5267128372,2.481830706,2.691884285,1.834003,1.4140196,120,2
MLP,0.001,150000,4.78E-10,6.67E-07,6.67E-07,3.60E-10,1837.636704,0.0973649931,2.940402108,2.684971523,2.2721858,1.6652653,100,2
Transformer,0.001,15000,6.34E-07,6.67E-07,6.67E-07,0.091543175,,0.187703262,2.490434229,3.042343318,,,161,32
MLP,0.001,15000,3.66E-07,6.93E-07,6.93E-07,0.091543004,,0.003012256,30.90146151,33.33852959,,,451,32
LSTM,0.001,15000,5.24E-06,5.52E-06,5.52E-06,0.091548011,,0.051359009,2.532420146,3.070841658,,,999,32
Transformer,0.001,20000,3.02E-08,6.67E-07,6.67E-07,0.091543183,,0.261605042,2.490434229,3.042343318,,,161,32
LSTM,0.001,20000,2.05E-07,8.09E-07,8.09E-07,0.091545768,,0.075238335,41.83465958,37.88502884,,,999,32
MLP,0.001,20000,8.54E-06,6.67E-07,6.67E-07,0.091542765,,0.002319776,2.702475232,3.407727093,,,301,32
Transformer,0.001,30000,2.04E-06,6.67E-07,6.67E-07,0.091543175,,0.414819305,2.490434229,3.042343318,,,161,32
LSTM,0.001,30000,3.58E-07,6.67E-07,6.67E-07,0.091543175,,0.103342369,2.490434229,3.042343318,,,121,32
MLP,0.001,30000,3.26E-07,6.69E-07,6.69E-07,0.091542326,,0.003955296,5.852539897,7.479438156,,,431,32
Transformer,0.001,40000,2.70E-06,6.67E-07,6.67E-07,0.091543183,,0.565668213,2.490434229,3.042343318,,,201,32
LSTM,0.001,40000,6.40E-08,6.67E-07,6.67E-07,0.091543183,,0.135089508,2.490434229,3.042343318,,,161,32
MLP,0.001,40000,1.51E-07,6.71E-07,6.71E-07,0.091540687,,0.001536224,11.12609091,12.31423779,,,271,32
Transformer,0.001,50000,6.65E-08,6.67E-07,6.67E-07,0.091543183,,0.717562622,2.490434229,3.042343318,,,121,32
LSTM,0.001,50000,8.40E-06,6.72E-07,6.72E-07,0.091543198,,0.167906906,2.491151297,3.057564628,,,121,32
MLP,0.001,50000,4.23E-08,6.67E-07,6.67E-07,0.091542356,,0.001616224,3.09827702,3.841298461,,,231,32
MLP,0.001,15000,2.66E-07,6.67E-07,6.67E-07,0.091542952,,0.017391104,2.904368293,3.465750349,,,251,2
MLP,0.001,20000,5.13E-07,6.67E-07,6.67E-07,0.091542915,,0.024450369,2.949450493,3.713407707,,,431,2
MLP,0.001,30000,3.25E-07,6.67E-07,6.67E-07,0.091542862,,0.042240704,3.003721762,3.664339757,,,241,2
MLP,0.001,40000,1.10E-07,6.67E-07,6.67E-07,0.091542929,,0.04553117,2.857596505,3.5182145,,,251,2
MLP,0.001,50000,8.65E-06,6.67E-07,6.67E-07,0.091542974,,0.099232094,2.846241039,3.407623094,,,441,2
Transformer,0.001,20000,3.02E-08,6.67E-07,6.67E-07,0.09154318273,,0.2616050415,2.490434229,3.042343318,,,161,32
LSTM,0.001,20000,2.05E-07,8.09E-07,8.09E-07,0.09154576808,,0.07523833466,41.83465958,37.88502884,,,999,32
MLP,0.001,20000,8.54E-06,6.67E-07,6.67E-07,0.0915427655,,0.002319776058,2.702475232,3.407727093,,,301,32
Transformer,0.001,30000,2.04E-06,6.67E-07,6.67E-07,0.09154317528,,0.4148193054,2.490434229,3.042343318,,,161,32
LSTM,0.001,30000,3.58E-07,6.67E-07,6.67E-07,0.09154317528,,0.1033423691,2.490434229,3.042343318,,,121,32
MLP,0.001,30000,3.26E-07,6.69E-07,6.69E-07,0.09154232591,,0.00395529604,5.852539897,7.479438156,,,431,32
Transformer,0.001,40000,2.70E-06,6.67E-07,6.67E-07,0.09154318273,,0.5656682129,2.490434229,3.042343318,,,201,32
LSTM,0.001,40000,6.40E-08,6.67E-07,6.67E-07,0.09154318273,,0.1350895081,2.490434229,3.042343318,,,161,32
MLP,0.001,40000,1.51E-07,6.71E-07,6.71E-07,0.09154068679,,0.001536224008,11.12609091,12.31423779,,,271,32
Transformer,0.001,50000,6.65E-08,6.67E-07,6.67E-07,0.09154318273,,0.7175626221,2.490434229,3.042343318,,,121,32
LSTM,0.001,50000,8.40E-06,6.72E-07,6.72E-07,0.09154319763,,0.1679069061,2.491151297,3.057564628,,,121,32
MLP,0.001,50000,4.23E-08,6.67E-07,6.67E-07,0.09154235572,,0.001616224051,3.09827702,3.841298461,,,231,32
Transformer,0.005,15000,8.33E-06,6.67E-07,6.67E-07,0.091543175,,0.19250618,2.490434229,3.042343318,,,121,32
LSTM,0.005,15000,9.43E-08,6.67E-07,6.67E-07,0.091543183,,0.049036831,2.490434229,3.042343318,,,121,32
MLP,0.005,15000,5.38E-08,6.80E-07,6.80E-07,0.091538168,,0.001653632,19.63306599,20.68452849,,,221,32
Transformer,0.005,20000,8.67E-06,6.67E-07,6.67E-07,0.091543175,,0.263317566,2.490434229,3.042343318,,,121,32
LSTM,0.005,20000,1.24E-05,4.68E-06,4.68E-06,0.091547191,,0.070912514,2.491878641,3.061231482,,,999,32
MLP,0.005,20000,8.68E-06,6.92E-07,7.06E-07,0.091545761,,0.003641824,24.72121389,40.14406868,,,221,32
Transformer,0.005,30000,7.75E-07,6.67E-07,6.67E-07,0.091543175,,0.414258606,2.490434229,3.042343318,,,201,32
LSTM,0.005,30000,8.37E-06,6.67E-07,6.67E-07,0.091543183,,0.102776863,2.490434229,3.042343318,,,201,32
MLP,0.005,30000,3.28E-07,6.68E-07,6.68E-07,0.091541886,,0.001377888,6.089717555,6.859857559,,,241,32
Transformer,0.005,40000,4.38E-08,6.67E-07,6.67E-07,0.091543175,,0.563850098,2.490434229,3.042343318,,,121,32
LSTM,0.005,40000,5.43E-08,6.67E-07,6.67E-07,0.091543175,,0.132396317,2.490434229,3.042343318,,,121,32
MLP,0.005,40000,1.16E-08,6.69E-07,6.69E-07,0.09154056,,0.001548992,8.902069116,9.558838701,,,231,32
Transformer,0.005,50000,2.97E-08,6.67E-07,6.67E-07,0.091543175,,0.703593445,2.490434229,3.042343318,,,141,32
LSTM,0.005,50000,4.09E-09,6.67E-07,6.67E-07,0.091543175,,0.167622589,2.491151297,3.057564628,,,161,32
MLP,0.005,50000,8.87E-08,6.67E-07,6.67E-07,0.091542929,,0.001258528,2.847203183,3.507821178,,,241,32
MLP,0.005,15000,3.34E-07,6.67E-07,6.67E-07,0.09154316,,0.026367424,2.721628535,3.365964806,,,231,2
MLP,0.005,20000,7.07E-08,6.67E-07,6.67E-07,0.091543004,,0.031414623,2.758231801,3.319613856,,,241,2
MLP,0.005,30000,5.19E-10,6.67E-07,6.67E-07,0.091543153,,0.033573666,2.565198481,3.11710757,,,241,2
MLP,0.005,40000,8.39E-06,6.67E-07,6.67E-07,0.0915429,,0.041486431,2.87024312,3.530861115,,,241,2
MLP,0.005,50000,3.51E-08,6.67E-07,6.67E-07,0.091542929,,0.087439072,2.866802561,3.527420557,,,231,2
Transformer,0.005,15000,8.33E-06,6.67E-07,6.67E-07,0.09154317528,,0.1925061798,2.490434229,3.042343318,,,121,32
LSTM,0.005,15000,9.43E-08,6.67E-07,6.67E-07,0.09154318273,,0.0490368309,2.490434229,3.042343318,,,121,32
MLP,0.005,15000,5.38E-08,6.80E-07,6.80E-07,0.09153816849,,0.001653632045,19.63306599,20.68452849,,,221,32
Transformer,0.005,20000,8.67E-06,6.67E-07,6.67E-07,0.09154317528,,0.2633175659,2.490434229,3.042343318,,,121,32
LSTM,0.005,20000,1.24E-05,4.68E-06,4.68E-06,0.09154719114,,0.07091251373,2.491878641,3.061231482,,,999,32
MLP,0.005,20000,8.68E-06,6.92E-07,7.06E-07,0.09154576063,,0.003641824007,24.72121389,40.14406868,,,221,32
Transformer,0.005,30000,7.75E-07,6.67E-07,6.67E-07,0.09154317528,,0.414258606,2.490434229,3.042343318,,,201,32
LSTM,0.005,30000,8.37E-06,6.67E-07,6.67E-07,0.09154318273,,0.1027768631,2.490434229,3.042343318,,,201,32
MLP,0.005,30000,3.28E-07,6.68E-07,6.68E-07,0.09154188633,,0.001377887964,6.089717555,6.859857559,,,241,32
Transformer,0.005,40000,4.38E-08,6.67E-07,6.67E-07,0.09154317528,,0.5638500977,2.490434229,3.042343318,,,121,32
LSTM,0.005,40000,5.43E-08,6.67E-07,6.67E-07,0.09154317528,,0.1323963165,2.490434229,3.042343318,,,121,32
MLP,0.005,40000,1.16E-08,6.69E-07,6.69E-07,0.09154056013,,0.001548992038,8.902069116,9.558838701,,,231,32
LSTM,0.01,20000,2.08E-10,6.67E-07,6.67E-07,3.53E-10,383.9397924,0.07148236847,2.412195271,2.877752113,1.809288,1.5010849,36,2
Transformer,0.01,20000,1.90E-09,6.67E-07,6.67E-07,3.98E-10,238.5849814,0.02455756831,2.482623863,2.961277032,1.809288,1.5001796,36,2
Transformer,0.01,15000,3.24E-07,6.67E-07,6.67E-07,0.091543183,,0.185902328,2.490434229,3.042343318,,,121,32
LSTM,0.01,15000,3.11E-07,7.22E-07,7.22E-07,0.091543235,,0.05305344,2.491151297,3.057564628,,,201,32
MLP,0.01,15000,3.36E-08,6.67E-07,6.67E-07,0.091542967,,0.003811904,2.855923575,3.41730563,,,231,32
Transformer,0.01,20000,1.39E-08,6.67E-07,6.67E-07,0.091543175,,0.258145325,2.490434229,3.042343318,,,141,32
LSTM,0.01,20000,3.16E-08,6.67E-07,6.67E-07,0.091543175,,0.068807518,2.490434229,3.042343318,,,161,32
MLP,0.01,20000,8.62E-06,6.67E-07,6.67E-07,0.091543093,,0.001515936,2.763985831,3.408322102,,,241,32
Transformer,0.01,30000,2.62E-07,6.67E-07,6.67E-07,0.091543175,,0.407472504,2.490434229,3.042343318,,,131,32
LSTM,0.01,30000,1.37E-07,6.67E-07,6.67E-07,0.091543175,,0.103182114,2.490434229,3.042343318,,,161,32
MLP,0.01,30000,5.55E-07,6.67E-07,6.68E-07,0.091542602,,0.003185888,4.977672803,5.582581806,,,221,32
Transformer,0.01,40000,3.85E-08,6.67E-07,6.67E-07,0.091543183,,0.55501947,2.490434229,3.042343318,,,121,32
LSTM,0.01,40000,8.35E-06,6.67E-07,6.67E-07,0.091543175,,0.136805817,2.490434229,3.042343318,,,161,32
MLP,0.01,40000,1.35E-07,6.88E-07,6.88E-07,0.091546297,,0.002005952,22.28961885,42.01689813,,,221,32
Transformer,0.01,50000,5.03E-10,6.67E-07,6.67E-07,0.091543175,,0.697120056,2.490434229,3.042343318,,,131,32
LSTM,0.01,50000,5.37E-07,6.67E-07,6.67E-07,0.091543175,,0.168462463,2.490434229,3.042343318,,,161,32
MLP,0.01,50000,8.36E-06,7.07E-07,7.07E-07,0.091535345,,0.001421088,31.92952356,32.55589752,,,231,32
MLP,0.01,15000,2.69E-07,6.67E-07,6.67E-07,0.091542773,,0.026153473,3.118127418,3.823379278,,,231,2
MLP,0.01,20000,4.36E-08,6.67E-07,6.67E-07,0.091543064,,0.034231106,2.808162332,3.491730547,,,201,2
MLP,0.01,30000,8.38E-06,6.67E-07,6.67E-07,0.091543011,,0.056273918,2.764908683,3.326290739,,,231,2
MLP,0.01,40000,6.49E-08,6.67E-07,6.67E-07,0.091542691,,0.043176159,3.420189559,4.065970743,,,231,2
MLP,0.01,50000,3.19E-07,6.67E-07,6.67E-07,0.091542773,,0.087416832,3.159431231,3.864683092,,,241,2
LSTM,0.01,20000,2.08E-10,6.67E-07,6.67E-07,3.53E-10,383.9397924,0.07148236847,2.412195271,2.877752113,1.809288,1.5010849,36,2
Transformer,0.01,20000,1.90E-09,6.67E-07,6.67E-07,3.98E-10,238.5849814,0.02455756831,2.482623863,2.961277032,1.809288,1.5001796,36,2